script_id,model,prompt_type,language,category,snippet,script_path,run_id,status,elapsed_seconds,energy_joules,avg_power_watts,error_message,energy_joules_raw,avg_power_watts_raw
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,1,ok,0.841694642,13.834908807,16.436969082,,14.110000000,16.763799240
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,2,ok,0.843893484,14.034190159,16.630286198,,14.310000000,16.957116356
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,3,ok,0.840853107,14.135183846,16.810526986,,14.410000000,17.137357144
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,4,ok,0.841129552,13.625093496,16.198567109,,13.900000000,16.525397267
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,5,ok,0.844554065,13.773974261,16.309168154,,14.050000000,16.635998312
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,6,ok,0.851235995,14.161790405,16.636738212,,14.440000000,16.963568370
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,7,ok,0.844614740,14.033954431,16.615805724,,14.310000000,16.942635882
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,8,ok,0.853702123,13.960984400,16.353461031,,14.240000000,16.680291189
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,9,ok,0.857170657,13.989850779,16.320963235,,14.270000000,16.647793393
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,10,ok,0.852956373,13.961228134,16.368044810,,14.240000000,16.694874968
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,11,ok,0.844707553,13.833924097,16.377175802,,14.110000000,16.704005960
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,12,ok,0.862375701,13.848149613,16.058139854,,14.130000000,16.384970012
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,13,ok,0.841836975,13.734862288,16.315346910,,14.010000000,16.642177068
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,14,ok,0.842042084,13.944795253,16.560686832,,14.220000000,16.887516990
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,15,ok,0.843072730,14.184458406,16.824715000,,14.460000000,17.151545158
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,16,ok,0.847575716,13.992986695,16.509423796,,14.270000000,16.836253954
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,17,ok,0.845388091,14.203701677,16.801397876,,14.480000000,17.128228034
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,18,ok,0.846806731,14.083238022,16.630994425,,14.360000000,16.957824583
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,19,ok,0.854451948,13.890739335,16.256899370,,14.170000000,16.583729528
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,20,ok,0.844125151,13.844114444,16.400547273,,14.120000000,16.727377431
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,21,ok,0.850162304,14.132141320,16.622874542,,14.410000000,16.949704700
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,22,ok,0.844640061,14.073946155,16.662655260,,14.350000000,16.989485418
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,23,ok,0.854811535,14.330621811,16.764656564,,14.610000000,17.091486722
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,24,ok,0.839759515,13.905541265,16.558956483,,14.180000000,16.885786641
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,25,ok,0.847463271,14.123023445,16.665056680,,14.400000000,16.991886838
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,26,ok,0.860024537,14.088918045,16.381995441,,14.370000000,16.708825599
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,27,ok,0.851807478,14.071603627,16.519699569,,14.350000000,16.846529727
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,28,ok,0.848539266,14.042671778,16.549230354,,14.320000000,16.876060512
script_4,original,base,python,data_visualization,02_distribution_boxplot,/home/romakrut/PycharmProjects/masters-thesis/task_equivalents/python/data_visualization/02_distribution_boxplot.py,29,ok,0.843584765,13.784291058,16.340137506,,14.060000000,16.666967664
